102292,AC01_001,FSM01
100190,AC01_022,FSM01
100637,AC01_032,FSM01
98933,AC01_033,FSM01
99998,AC01_034,FSM01
100026,AC01_049,FSM01
101494,AC01_051,FSM01
100739,AC01_052,FSM01
100699,AC01_054,FSM01
100698,AC01_056,FSM01
99607,AC01_057,FSM01
100029,AC01_058,FSM01
99617,AC01_060,FSM01
101040,AC01_061,FSM01
100700,AC01_062,FSM01
100701,AC01_063,FSM01
102585,AC01_064,FSM01
100322,AC01_073,FSM01
99419,AC01_080,FSM01
101635,AC01_091,FSM01
101044,AC01_092,FSM01
101598,AC01_152,FSM01
100706,AC01_164,FSM01
100743,AC01_196,FSM01
100707,AC01_200,FSM01
99614,AC01_201,FSM01
101505,AC01_202,FSM01
100628,AC01_203,FSM01
100748,AC01_204,FSM01
99469,AC01_206,FSM01
101614,AC01_207,FSM01
100708,AC02_026,FSM01
99897,AC02_042,FSM01
101609,AC02_043,FSM01
98886,AC02_050,FSM01
100742,AC02_057,FSM01
101043,AC02_058,FSM01
101628,AC02_067,FSM01
99657,AC02_069,FSM01
98914,AC02_075,FSM01
100712,AC02_081,FSM01
101605,AC02_084,FSM01
100648,AC02_086,FSM01
101618,AC02_090,FSM01
99391,AC02_091,FSM01
101610,AC02_092,FSM01
101495,AC02_100,FSM01
99416,AC02_112,FSM01
100643,AC02_113,FSM01
101600,AC02_114,FSM01
100740,AC02_115,FSM01
100714,AC02_120,FSM01
99671,AC02_121,FSM01
101602,AC02_130,FSM01
100695,AC02_144,FSM01
100715,AC02_158,FSM01
100716,AC02_159,FSM01
101340,AC03_007,FSM01
104054,AC03_012,FSM01
102597,AC03_019,FSM01
101623,AC03_047,FSM01
103232,AC03_056,FSM01
102660,AC03_064,FSM01
101653,AC03_065,FSM01
101903,AC03_066,FSM01
102414,AC03_067,FSM01
102498,AC03_092,FSM01
98928,AC03_095,FSM01
101538,AC03_096,FSM01
103618,AC03_101,FSM01
103267,AC03_111,FSM01
101046,AC03_116,FSM01
100747,AC03_117,FSM01
101756,AC03_118,FSM01
103057,AC03_131,FSM01
100596,AC03_134,FSM01
100688,AC03_135,FSM01
103493,AC03_142,FSM01
103048,AG40_077,FSM01
126124,BC01_028,FSM04
126552,BC01_029,FSM04
126319,BC01_079,FSM04
126357,BC01_087,FSM04
126385,BC01_088,FSM04
126512,BC01_089,FSM04
126261,BC02_018,FSM04
126062,BC03_004a,FSM04
126349,BC03_004b,FSM04
126198,BC04_054,FSM04
126179,BC05_030,FSM04
126061,BC05_031,FSM04
126153,BC05_032,FSM04
126362,BC05_033,FSM04
126049,BC05_034,FSM04
125892,BC05_039,FSM04
126059,BC05_042,FSM04
126302,BC05_060,FSM04
395535,BF102_0097,FSM06
395591,BF103_0056,FSM06
396560,BF106_0001,FSM07
396561,BF106_0002,FSM07
396562,BF106_0003,FSM07
396563,BF106_0004,FSM07
396564,BF106_0005,FSM07
396565,BF106_0006,FSM07
396566,BF106_0007,FSM07
396567,BF106_0008,FSM07
396568,BF106_0009,FSM07
396569,BF106_0010,FSM07
396570,BF106_0011,FSM07
396571,BF106_0012,FSM07
396572,BF106_0013,FSM07
396573,BF106_0014,FSM07
396574,BF106_0015,FSM07
396575,BF106_0016,FSM07
396576,BF106_0017,FSM07
396577,BF106_0018,FSM07
396578,BF106_0019,FSM07
396579,BF106_0020,FSM07
396580,BF106_0021,FSM07
396581,BF106_0022,FSM07
396582,BF106_0023,FSM07
396583,BF106_0024,FSM07
396584,BF106_0025,FSM07
396585,BF106_0026,FSM07
396586,BF106_0027,FSM07
396587,BF106_0028,FSM07
396588,BF106_0029,FSM07
396589,BF106_0030,FSM07
396590,BF106_0031,FSM07
396591,BF106_0032,FSM07
396592,BF106_0033,FSM07
396593,BF106_0034,FSM07
396594,BF106_0035,FSM07
396595,BF106_0036,FSM07
